arm,node,role,attack_start_s,t_s,trust
baseline,srv1,grayhole,40,166.229,0.274500
baseline,srv1,grayhole,40,167.645,0.607900
baseline,srv1,grayhole,40,169.353,0.274300
baseline,srv1,grayhole,40,170.680,0.810200
baseline,srv1,grayhole,40,172.413,0.763000
baseline,srv1,grayhole,40,174.061,0.756500
baseline,srv1,grayhole,40,175.488,0.415000
baseline,srv1,grayhole,40,177.161,0.756800
baseline,srv1,grayhole,40,179.049,0.206500
baseline,srv1,grayhole,40,180.586,0.206500
baseline,srv1,grayhole,40,182.076,0.272300
baseline,srv1,grayhole,40,183.528,0.215000
baseline,srv1,grayhole,40,184.960,0.206400
baseline,srv1,grayhole,40,186.685,0.386200
baseline,srv1,grayhole,40,188.247,0.205200
baseline,srv1,grayhole,40,189.838,0.656700
baseline,srv1,grayhole,40,191.177,0.656700
baseline,srv1,grayhole,40,192.558,0.275300
baseline,srv1,grayhole,40,193.850,0.275300
baseline,srv1,grayhole,40,195.144,0.603900
baseline,srv1,grayhole,40,196.796,0.603600
baseline,srv1,grayhole,40,198.591,0.605500
baseline,srv1,grayhole,40,200.264,0.654100
baseline,srv1,grayhole,40,201.848,0.598900
baseline,srv1,grayhole,40,203.381,0.610500
baseline,srv1,grayhole,40,204.923,0.606600
baseline,srv1,grayhole,40,206.193,0.606600
baseline,srv1,grayhole,40,207.706,0.264800
baseline,srv1,grayhole,40,209.052,0.205000
baseline,srv1,grayhole,40,210.582,0.000000
baseline,srv1,grayhole,40,211.996,0.628200
baseline,srv1,grayhole,40,213.411,0.665900
baseline,srv1,grayhole,40,215.367,0.603700
baseline,srv1,grayhole,40,216.997,0.272500
baseline,srv1,grayhole,40,218.485,0.606800
baseline,srv1,grayhole,40,220.087,0.792000
baseline,srv1,grayhole,40,221.456,0.420500
baseline,srv1,grayhole,40,223.008,0.612200
baseline,srv1,grayhole,40,224.678,0.415900
baseline,srv1,grayhole,40,226.143,0.637500
baseline,srv1,grayhole,40,227.568,0.789600
baseline,srv1,grayhole,40,228.864,0.364800
baseline,srv1,grayhole,40,230.168,0.600700
baseline,srv1,grayhole,40,231.937,0.670900
baseline,srv1,grayhole,40,233.413,0.761200
baseline,srv1,grayhole,40,234.789,0.663600
baseline,srv1,grayhole,40,236.174,0.663600
baseline,srv1,grayhole,40,237.663,0.423700
baseline,srv1,grayhole,40,239.003,0.413600
baseline,srv1,grayhole,40,240.610,0.424100
baseline,srv1,grayhole,40,242.066,0.424100
