arm,device,client_ip,client_role,attack_start_s,total_routes,servers_routed,servers_effective,dominant_share,switches,first_server,last_server,abandoned,mean_latency_ms,p95_latency_ms
zero_trust,iot6,10.0.0.6,none,0.0,137,8,8,0.2846715328467153,107,srv1,srv2,1,141.58529411764704,149.8775
zero_trust,iot7,10.0.0.7,none,0.0,137,7,7,0.291970802919708,107,srv2,srv5,3,80.82820895522387,117.13649999999998
zero_trust,iot8,10.0.0.8,none,0.0,136,8,8,0.27205882352941174,105,srv7,srv5,2,104.58208955223881,171.4535
zero_trust,iot9,10.0.0.9,none,0.0,140,8,8,0.2857142857142857,114,srv3,srv7,1,90.25388489208633,128.083
zero_trust,iot10,10.0.0.10,none,0.0,136,8,8,0.2647058823529412,105,srv2,srv2,1,135.15362962962965,186.957
zero_trust,iot11,10.0.0.11,none,0.0,140,8,8,0.2714285714285714,109,srv2,srv5,1,105.13503597122302,110.40899999999998
zero_trust,iot12,10.0.0.12,none,0.0,135,7,7,0.23703703703703705,103,srv7,srv2,2,130.13586466165413,158.236
zero_trust,iot13,10.0.0.13,none,0.0,134,8,8,0.26119402985074625,106,srv2,srv7,2,130.82666666666665,157.44449999999998
zero_trust,iot14,10.0.0.14,none,0.0,139,7,7,0.26618705035971224,105,srv4,srv7,1,95.39492753623189,128.2245
zero_trust,iot15,10.0.0.15,none,0.0,137,8,8,0.23357664233576642,106,srv3,srv2,1,144.0791911764706,157.5775
zero_trust,iot16,10.0.0.16,none,0.0,134,8,8,0.2462686567164179,103,srv7,srv5,2,150.42212121212123,129.525
zero_trust,iot17,10.0.0.17,none,0.0,137,8,8,0.26277372262773724,112,srv2,srv5,2,137.72207407407407,166.41299999999995
zero_trust,iot18,10.0.0.18,none,0.0,140,7,7,0.30714285714285716,101,srv3,srv5,0,100.88978571428571,146.38849999999996
zero_trust,iot19,10.0.0.19,none,0.0,138,7,7,0.2463768115942029,113,srv8,srv4,2,110.67764705882352,118.01
zero_trust,iot20,10.0.0.20,none,0.0,138,7,7,0.2898550724637681,114,srv3,srv7,0,130.79347826086956,154.8555
