arm,node,server_role,attack_start_s,t_s,requests,requests_per_s,distinct_clients,client_share,client_jain
zero_trust,srv8,onoff,50.0,140.0,1,0.1,1,0.02702702702702703,1.0
zero_trust,srv8,onoff,50.0,150.0,4,0.4,4,0.10810810810810811,1.0
zero_trust,srv8,onoff,50.0,160.0,0,0.0,0,0.0,
zero_trust,srv8,onoff,50.0,170.0,34,3.4,19,0.5135135135135135,0.3456937799043062
zero_trust,srv8,onoff,50.0,180.0,4,0.4,3,0.08108108108108109,0.8888888888888888
zero_trust,srv8,onoff,50.0,190.0,20,2.0,17,0.4594594594594595,0.9049773755656109
zero_trust,srv8,onoff,50.0,200.0,10,1.0,7,0.1891891891891892,0.7936507936507936
zero_trust,srv8,onoff,50.0,210.0,12,1.2,10,0.2702702702702703,0.9
zero_trust,srv8,onoff,50.0,220.0,23,2.3,15,0.40540540540540543,0.5977401129943503
zero_trust,srv8,onoff,50.0,230.0,0,0.0,0,0.0,
zero_trust,srv8,onoff,50.0,240.0,11,1.1,8,0.21621621621621623,0.657608695652174
zero_trust,srv8,onoff,50.0,250.0,1,0.1,1,0.02702702702702703,1.0
zero_trust,srv8,onoff,50.0,260.0,12,1.2,9,0.24324324324324326,0.8888888888888888
zero_trust,srv8,onoff,50.0,270.0,3,0.3,3,0.08108108108108109,1.0
zero_trust,srv8,onoff,50.0,280.0,16,1.6,13,0.35135135135135137,0.7032967032967034
zero_trust,srv8,onoff,50.0,290.0,0,0.0,0,0.0,
zero_trust,srv8,onoff,50.0,300.0,16,1.6,10,0.2702702702702703,0.5333333333333333
zero_trust,srv8,onoff,50.0,310.0,1,0.1,1,0.02702702702702703,1.0
